frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
15, 0.583917, 0.985021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
16, 0.625625, 0.988629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
17, 0.667333, 0.993378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
18, 0.709042, 0.99294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
19, 0.75075, 0.99267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
20, 0.792458, 0.990414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
21, 0.834167, 0.988674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
22, 0.875875, 0.986973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
23, 0.917583, 0.989391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
24, 0.959292, 0.989152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
25, 1.001, 0.989822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
26, 1.04271, 0.989587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
27, 1.08442, 0.990968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
28, 1.12613, 0.988567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
29, 1.16783, 0.98823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
30, 1.20954, 0.987985, 1, 1.00116, 0, 0, 0, 0, 0, 0, 0, 0, 0.850257, 0.516353, 0, 0, 0, 0, 1, 0, 0, 0, 0
31, 1.25125, 0.988117, 1, 0.933663, 0, 0, 0, 0, 0, 0, 0, 0, 0.734797, 0, 0, 0.867233, 0, 0, 1, 1, 0, 0, 0
32, 1.29296, 0.987413, 1, 0.963404, 0, 0, 0, 0, 0, 0, 0, 0, 0.75424, 0, 0, 0.722591, 0, 1, 1, 1, 0, 0, 0
33, 1.33467, 0.987932, 1, 0.927674, 0, 0, 0, 0, 0.50628, 0, 0, 0, 0.671397, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
34, 1.37637, 0.988251, 1, 0.821003, 0, 0, 0, 0, 0, 0, 0, 0, 0.585585, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
35, 1.41808, 0.98855, 1, 0.67339, 0, 0, 0, 0, 0, 0, 0, 0, 0.552912, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
36, 1.45979, 0.989282, 1, 0.73503, 0, 0, 0, 0, 0, 0, 0, 0, 0.550498, 0.558422, 0, 0, 0, 0, 1, 0, 0, 0, 0
37, 1.5015, 0.980661, 1, 0.90002, 0, 0, 0, 0, 0, 0, 0, 0, 0.60564, 0.514673, 0, 0, 0, 0, 1, 0, 0, 0, 0
38, 1.54321, 0.987511, 1, 1.04371, 0, 0, 0, 0, 0, 0, 0, 0.784018, 0.95695, 0, 0, 1.23139, 0, 0, 1, 0, 0, 0, 0
39, 1.58492, 0.981081, 1, 1.02219, 0, 0.694409, 0, 0, 0, 0, 0, 0.783608, 0.847721, 0.54291, 0, 1.13055, 0.520876, 0, 1, 0, 0, 0, 0
40, 1.62663, 0.972994, 1, 1.15208, 0.672644, 0.521904, 0, 0, 0, 0, 0, 0.749685, 0.810749, 0.684103, 0, 1.18489, 0.536195, 0, 1, 0, 0, 0, 0
41, 1.66833, 0.972507, 1, 1.26494, 0, 0, 0, 0, 0, 0, 0, 0, 0.69564, 0.5055, 0, 1.31554, 0.561329, 0, 1, 0, 0, 0, 0
42, 1.71004, 0.978127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
43, 1.75175, 0.989462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
44, 1.79346, 0.993717, 1, 0.994747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.571936, 0.645912, 0, 0, 0, 0, 0, 0, 0, 0
45, 1.83517, 0.992369, 1, 0.929973, 0, 0, 0, 0, 0.897396, 0, 0, 0, 0, 1.07507, 0.553938, 0, 0, 0, 1, 0, 0, 0, 0
46, 1.87688, 0.991746, 1, 0.71797, 0, 0, 0, 0, 0.675978, 0, 0, 0, 0, 1.02329, 0.565431, 0, 0, 0, 0, 0, 0, 0, 0
47, 1.91858, 0.988853, 1, 0.762017, 0, 0, 0.614995, 0, 0, 0, 0, 0, 0, 0.673582, 0, 0, 0, 0, 0, 0, 0, 0, 0
48, 1.96029, 0.989496, 1, 0.712563, 0, 0, 0, 0, 0, 0, 0, 0.636079, 0, 1.00485, 0.558216, 0, 0, 0, 0, 0, 0, 0, 0
49, 2.002, 0.988999, 1, 0.91898, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04731, 0.561297, 0, 0, 0, 0, 0, 0, 0, 0
50, 2.04371, 0.988629, 1, 0.819253, 0, 0, 0.54583, 0, 0, 0, 0, 0, 0, 0.900061, 0, 0, 0, 0, 0, 0, 0, 0, 0
51, 2.08542, 0.987981, 1, 0.551276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
52, 2.12712, 0.988346, 1, 0.585797, 0.686613, 0, 0.561265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
53, 2.16883, 0.988171, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14235, 0, 0, 1, 0, 0, 0, 0
54, 2.21054, 0.987085, 1, 0, 0, 0, 0.538703, 0, 0, 0, 0, 0, 0, 0, 0, 1.10362, 0, 0, 1, 0, 0, 0, 0
55, 2.25225, 0.987098, 1, 0, 0, 0, 0.51506, 0, 0, 0, 0, 0, 0, 0, 0, 1.38262, 0, 0, 1, 0, 0, 0, 0
56, 2.29396, 0.98659, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26437, 0, 0, 1, 0, 0, 0, 0
57, 2.33567, 0.987183, 1, 0, 0, 0, 0, 0, 0, 0, 0.598323, 0, 0, 0, 0, 1.20963, 0, 0, 1, 0, 0, 0, 0
58, 2.37737, 0.987018, 1, 0, 0, 0, 0.502919, 0, 0, 0, 0.569981, 0, 0, 0, 0, 0.783357, 0, 0, 1, 0, 0, 0, 0
59, 2.41908, 0.984591, 1, 0, 0, 0, 0, 0, 0, 0, 0.765928, 0, 0, 0, 0, 0.863955, 0, 0, 1, 0, 0, 0, 0
60, 2.46079, 0.978332, 1, 0, 0, 0, 0, 0, 0, 0, 0.704098, 0, 0, 0, 0, 0.964607, 0, 0, 1, 0, 0, 0, 0
61, 2.5025, 0.982469, 1, 0, 0, 0, 0, 0, 0, 0, 0.703992, 0, 0, 0, 0, 1.52884, 0, 0, 1, 0, 0, 0, 0
62, 2.54421, 0.980943, 1, 0, 0, 0, 0, 0, 0, 0, 0.810589, 0, 0, 0, 0, 1.23178, 0, 0, 1, 0, 0, 0, 0
63, 2.58592, 0.981455, 1, 0, 0, 0, 0.5349, 0, 0, 0, 0.709882, 0, 0, 0, 0, 0.829969, 0, 0, 1, 0, 0, 0, 0
64, 2.62763, 0.985291, 1, 0, 0, 0, 0, 0, 0, 0, 0.79129, 0.649724, 0, 0, 0, 0.733593, 0, 0, 1, 0, 0, 0, 0
65, 2.66933, 0.985607, 1, 0, 0, 0, 0.507578, 0, 0, 0, 0.789876, 0.962105, 0, 0, 0, 1.20916, 0, 0, 1, 0, 0, 0, 0
66, 2.71104, 0.986726, 1, 0, 0, 0, 0.524669, 0, 0, 0, 0.557296, 0.829011, 0, 0, 0, 1.4222, 0, 0, 1, 0, 0, 0, 0
67, 2.75275, 0.990717, 1, 0, 0.563373, 0, 0.733137, 0, 0.546226, 0, 0, 0.588949, 0, 0.647918, 0.605312, 0.562104, 0, 0, 1, 0, 0, 0, 0
68, 2.79446, 0.99291, 1, 0, 0, 0, 0, 0, 0.500765, 0, 0, 0.615441, 0, 1.12626, 0.963627, 0, 0, 0, 1, 0, 0, 0, 0
69, 2.83617, 0.993462, 1, 0, 0, 0.992005, 0, 0, 0, 0, 0, 0, 0.68721, 1.07182, 1.69897, 0, 0, 0, 0, 0, 0, 0, 1
70, 2.87788, 0.954762, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00779, 0.506687, 1.50519, 1.26267, 0, 0, 1, 0, 0, 0, 1
71, 2.91958, 0.918694, 1, 1.08177, 0.670182, 0.532673, 0, 0, 0, 0, 0, 0, 0.889657, 0, 0, 0.792944, 0, 0, 1, 0, 0, 0, 1
72, 2.96129, 0.959437, 1, 0.519727, 0.829855, 1.12005, 0, 0, 0, 0, 0, 0, 0.580719, 0, 0, 2.34539, 0, 0, 1, 0, 0, 0, 1
73, 3.003, 0.989219, 1, 0, 0, 0.904972, 0, 0, 0, 0, 0.693987, 0, 0, 0, 0, 2.16589, 0.744743, 0, 1, 0, 0, 0, 1
74, 3.04471, 0.987135, 1, 0, 0, 1.2593, 0, 0, 0, 0, 0.757486, 0, 0, 0, 0, 1.93531, 0.83945, 0, 1, 0, 0, 0, 1
75, 3.08642, 0.987395, 1, 0, 0, 1.38172, 0, 0.64217, 0, 0, 0.721442, 0, 0, 0, 0, 2.27942, 0.896671, 0, 1, 0, 0, 0, 1
76, 3.12812, 0.979483, 1, 0, 0, 1.30903, 0, 0.685818, 0, 0, 0.766777, 0, 0, 0, 0, 2.39572, 0.794641, 0, 1, 0, 0, 0, 1
77, 3.16983, 0.980002, 1, 0, 0, 1.05438, 0, 0.658895, 0, 0, 0.826063, 0, 0, 0, 1.06544, 2.92178, 0.791283, 0, 1, 0, 0, 0, 1
78, 3.21154, 0.972357, 1, 0, 0, 1.09906, 0, 0.572027, 0, 0, 0.592085, 0, 0, 0, 1.71603, 1.55118, 0.700159, 0, 1, 0, 0, 0, 1
79, 3.25325, 0.972983, 1, 0, 0, 1.18662, 0, 0.575295, 0, 0, 0.645313, 0, 0, 0, 1.56031, 2.13208, 0.672302, 0, 1, 0, 0, 0, 1
80, 3.29496, 0.978822, 1, 0, 0, 1.19111, 0, 0.754806, 0, 0, 0.810974, 0, 0, 0, 1.49588, 3.06768, 0.691173, 0, 1, 0, 0, 0, 1
81, 3.33667, 0.985865, 1, 0, 0, 0.846419, 0, 0.835821, 0, 0, 0.963594, 0, 0, 0, 0.708652, 1.68428, 0, 0, 1, 0, 0, 0, 1
82, 3.37838, 0.987516, 1, 0, 0, 0.862948, 0, 0.819022, 0, 0, 0.930644, 0, 0, 0, 0, 1.84455, 0, 0, 1, 0, 0, 0, 1
83, 3.42008, 0.986732, 1, 0, 0, 0.924937, 0, 0.839715, 0, 0, 0.936678, 0, 0, 0, 0, 1.76339, 0, 0, 1, 0, 0, 0, 1
84, 3.46179, 0.982676, 1, 0, 0, 1.14698, 0, 0.809846, 0, 0, 0.878096, 0, 0, 0, 0, 2.08016, 0.585757, 0, 1, 0, 0, 0, 1
85, 3.5035, 0.980991, 1, 0, 0, 0.987101, 0, 0.918752, 0, 0, 0.988615, 0, 0, 0, 0, 2.21678, 0.593731, 0, 1, 0, 0, 0, 1
86, 3.54521, 0.984962, 1, 0, 0, 0.852729, 0, 1.13229, 0, 0.618665, 0.950288, 0, 0, 0, 0, 1.53014, 0.569949, 0, 1, 0, 0, 0, 1
87, 3.58692, 0.981623, 1, 0, 0, 0.882649, 0, 0.856015, 0, 0, 0.765027, 0, 0, 0, 0.682294, 1.29943, 0.571196, 0, 1, 0, 0, 0, 1
88, 3.62863, 0.989032, 1, 0, 0, 0.966173, 0, 0.700691, 0.818154, 0, 0, 0, 0, 0, 0, 1.80593, 0.571297, 0, 1, 0, 0, 0, 1
89, 3.67033, 0.99152, 1, 0, 0, 0.929061, 0, 0.738682, 0, 0, 0.719146, 0, 0, 0, 1.23472, 2.10211, 0, 0, 1, 0, 0, 0, 1
