frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
50, 2.04371, 0.98867, 1, 0.213243, 0.0810556, -0.973631, -0.00372801, 0.0784808, -0.996909, -0.0673023, 0.287623, -0.955376, -0.282046, 0.282554, -0.916849
51, 2.08542, 0.988019, 1, 0.222279, 0.0636747, -0.972902, 0.00539721, 0.0661252, -0.997797, -0.0668611, 0.274008, -0.9594, -0.281538, 0.273705, -0.919686
52, 2.12712, 0.988683, 1, 0.17984, 0.0372824, -0.982989, 0.00615496, 0.0553305, -0.998449, -0.11592, 0.21414, -0.9699, -0.286293, 0.227335, -0.930782
53, 2.16883, 0.987972, 1, 0.177842, 0.0424429, -0.983143, 0.0296581, 0.0469732, -0.998456, -0.108627, 0.188817, -0.975986, -0.255092, 0.188353, -0.948394
54, 2.21054, 0.987057, 1, 0.169364, 0.0542135, -0.984061, 0.0242942, 0.0400061, -0.998904, -0.0946104, 0.201465, -0.974916, -0.238267, 0.18157, -0.954076
55, 2.25225, 0.987065, 1, 0.16556, 0.0472025, -0.985069, 0.0172471, 0.0406309, -0.999025, -0.0874008, 0.198581, -0.97618, -0.234344, 0.185954, -0.954203
56, 2.29396, 0.986641, 1, 0.164662, 0.0539067, -0.984876, 0.0252155, 0.0372822, -0.998987, -0.0917886, 0.199871, -0.975513, -0.229915, 0.177652, -0.956859
57, 2.33567, 0.987196, 1, 0.167313, 0.0484073, -0.984715, 0.034905, 0.0416513, -0.998522, -0.0931841, 0.181033, -0.979052, -0.224496, 0.168652, -0.95977
58, 2.37737, 0.986977, 1, 0.165955, 0.0514738, -0.984789, 0.0330407, 0.0427487, -0.998539, -0.0965194, 0.180465, -0.978834, -0.228198, 0.165848, -0.959385
59, 2.41908, 0.984625, 1, 0.167095, 0.0559152, -0.984354, 0.039332, 0.0377122, -0.998514, -0.0962119, 0.193447, -0.976382, -0.222834, 0.169972, -0.959924
60, 2.46079, 0.978197, 1, 0.162223, 0.0533658, -0.98531, 0.00440062, 0.0548723, -0.998484, -0.0929563, 0.169313, -0.981169, -0.248987, 0.164145, -0.954496
61, 2.5025, 0.982646, 1, 0.165012, 0.0612926, -0.984385, 0.00966767, 0.0552184, -0.998428, -0.0999363, 0.185454, -0.977558, -0.253377, 0.172862, -0.951798
62, 2.54421, 0.981006, 1, 0.161713, 0.067031, -0.984559, 0.01659, 0.0571921, -0.998225, -0.10169, 0.182386, -0.977954, -0.245122, 0.166664, -0.955059
63, 2.58592, 0.981574, 1, 0.174038, 0.0640629, -0.982653, -0.0221, 0.041599, -0.99889, -0.110026, 0.198678, -0.973869, -0.3025, 0.168401, -0.938155
64, 2.62763, 0.985373, 1, 0.174484, 0.0511264, -0.983332, 0.0154312, 0.0500796, -0.998626, -0.0986367, 0.226912, -0.968908, -0.25588, 0.220761, -0.941164
65, 2.66933, 0.984559, 1, 0.190524, 0.00934366, -0.981638, -0.0181237, 0.0280115, -0.999443, -0.102233, 0.213293, -0.971625, -0.306894, 0.224562, -0.924872
66, 2.71104, 0.985971, 1, 0.184627, 0.0262058, -0.982459, -0.0165681, 0.0347595, -0.999258, -0.0969256, 0.242544, -0.965286, -0.294697, 0.244304, -0.923834
67, 2.75275, 0.990242, 1, 0.168421, 0.0362289, -0.985049, -0.0171714, 0.0414312, -0.998994, -0.0987404, 0.217541, -0.971044, -0.281389, 0.216118, -0.93494
68, 2.79446, 0.992245, 1, 0.271276, 0.116171, -0.955465, 0.075604, 0.137144, -0.987662, 0.0701069, 0.249484, -0.965838, -0.128647, 0.262532, -0.956309
69, 2.83617, 0.993351, 1, 0.0241915, 0.129816, -0.991243, -0.0880059, 0.109807, -0.990049, -0.071972, 0.199451, -0.977261, -0.182063, 0.171367, -0.968239
70, 2.87788, 0.955549, 1, 0.0603896, 0.134478, -0.989075, -0.142983, 0.229612, -0.962722, 0.0181734, 0.189405, -0.981731, -0.189901, 0.269379, -0.944125
71, 2.91958, 0.920448, 1, 0.0924285, 0.139284, -0.98593, -0.0619271, 0.203245, -0.977168, 0.120189, 0.155502, -0.980497, -0.0386209, 0.208065, -0.977352
72, 2.96129, 0.960134, 1, 0.0645528, 0.153647, -0.986015, 0.026977, 0.102431, -0.994374, 0.179912, 0.131097, -0.974908, 0.148628, 0.0762848, -0.985946
73, 3.003, 0.989234, 1, 0.316568, 0.111396, -0.942006, 0.0950789, 0.0820717, -0.992081, 0.562076, 0.170097, -0.809406, 0.36792, 0.123784, -0.921582
74, 3.04471, 0.987134, 1, 0.284518, 0.114193, -0.951845, 0.0829005, 0.11235, -0.990205, 0.539968, 0.141954, -0.829629, 0.358853, 0.125993, -0.924851
75, 3.08642, 0.986978, 1, 0.297606, 0.113856, -0.947875, 0.0665981, 0.118136, -0.990762, 0.545878, 0.151487, -0.824056, 0.336602, 0.143497, -0.930649
76, 3.12812, 0.97955, 1, 0.294292, 0.112372, -0.949086, 0.0714962, 0.138937, -0.987717, 0.534108, 0.169711, -0.828207, 0.32904, 0.188196, -0.925373
77, 3.16983, 0.98167, 1, 0.31605, 0.0946423, -0.94401, 0.0454404, 0.132725, -0.990111, 0.556658, 0.160385, -0.815113, 0.307353, 0.190903, -0.93225
78, 3.21154, 0.972204, 1, 0.308184, 0.108677, -0.945099, 0.105726, 0.11139, -0.988137, 0.530804, 0.203056, -0.822809, 0.346054, 0.202204, -0.916166
79, 3.25325, 0.972761, 1, 0.299626, 0.110101, -0.947683, 0.114621, 0.0952418, -0.988833, 0.519585, 0.213167, -0.8274, 0.352201, 0.194302, -0.915533
80, 3.29496, 0.978895, 1, 0.295903, 0.129423, -0.94641, 0.112761, 0.0997148, -0.988606, 0.516508, 0.226742, -0.825716, 0.352314, 0.19303, -0.915759
81, 3.33667, 0.985824, 1, 0.300924, 0.129752, -0.94478, 0.0668673, 0.136478, -0.988384, 0.515677, 0.219266, -0.828251, 0.299455, 0.221192, -0.928117
82, 3.37838, 0.987509, 1, 0.311698, 0.124598, -0.941977, 0.0694397, 0.126936, -0.989477, 0.528278, 0.208047, -0.823188, 0.305561, 0.205689, -0.92969
83, 3.42008, 0.986722, 1, 0.308619, 0.121582, -0.943383, 0.0767653, 0.130426, -0.988482, 0.521792, 0.200834, -0.829095, 0.307642, 0.20561, -0.929021
84, 3.46179, 0.982674, 1, 0.315582, 0.127978, -0.940228, 0.0839953, 0.133445, -0.98749, 0.518999, 0.188691, -0.833688, 0.304724, 0.188512, -0.933599
85, 3.5035, 0.98299, 1, 0.346402, 0.112243, -0.931347, 0.0640014, 0.124777, -0.990118, 0.548066, 0.161669, -0.820662, 0.286761, 0.166876, -0.943356
86, 3.54521, 0.982237, 1, 0.319468, 0.124932, -0.939325, 0.0825916, 0.1414, -0.986501, 0.498909, 0.189656, -0.845648, 0.276136, 0.202635, -0.939515
87, 3.58692, 0.986689, 1, 0.32527, 0.0998431, -0.940336, 0.121249, 0.0906096, -0.988478, 0.47845, 0.183972, -0.858627, 0.286261, 0.173935, -0.942232
88, 3.62863, 0.989077, 1, 0.327913, 0.188411, -0.925729, 0.140287, 0.232833, -0.962345, 0.401171, 0.283975, -0.870873, 0.216173, 0.327615, -0.919749
89, 3.67033, 0.991787, 1, 0.275681, 0.177516, -0.944716, 0.0341053, 0.142398, -0.989222, 0.275731, 0.294493, -0.915012, 0.034407, 0.263829, -0.963955
